#korona's total length 396.638868940
#lon, lat, nazwa, 'rzutowany' metr walu
19.677249256, 49.979871179, SW_DOWN-156, 127.958369751
19.677249550, 49.979880169, SW_DOWN-157, 128.958106379
19.677249888, 49.979889157, SW_DOWN-158, 129.957779148
19.677250226, 49.979898146, SW_DOWN-159, 130.957451917
19.677250564, 49.979907135, SW_DOWN-160, 131.957124686
19.677250902, 49.979916124, SW_DOWN-161, 132.956797455
19.677251119, 49.979925113, SW_DOWN-162, 133.956589108
19.677251123, 49.979934105, SW_DOWN-163, 134.956587743
19.677251127, 49.979943096, SW_DOWN-164, 135.956586377
19.677251132, 49.979952087, SW_DOWN-165, 136.956585011
19.677251136, 49.979961079, SW_DOWN-166, 137.956583645
19.677251140, 49.979970070, SW_DOWN-167, 139.065624299
19.677251141, 49.979979062, SW_DOWN-168, 140.065561908
19.677251141, 49.979988053, SW_DOWN-169, 141.065498045
19.677251140, 49.979997044, SW_DOWN-170, 142.065434182
19.677251139, 49.980006036, SW_DOWN-171, 143.065370319
19.677251138, 49.980015027, SW_DOWN-172, 144.065306456
19.677251138, 49.980024019, SW_DOWN-173, 145.065242593
19.677251111, 49.980033010, SW_DOWN-174, 146.065155753
19.677251078, 49.980042001, SW_DOWN-175, 147.065062906
19.677251045, 49.980050993, SW_DOWN-176, 148.064970058
19.677251012, 49.980059984, SW_DOWN-177, 149.064877210
19.677250993, 49.980068975, SW_DOWN-178, 150.064797010
19.677250984, 49.980077967, SW_DOWN-179, 151.064727070
19.677250976, 49.980086958, SW_DOWN-180, 152.064657129
19.677250968, 49.980095950, SW_DOWN-181, 153.064587189
19.677250960, 49.980104941, SW_DOWN-182, 153.989267529
19.677250952, 49.980113932, SW_DOWN-183, 154.988276003
19.677250944, 49.980122924, SW_DOWN-184, 155.988271993
19.677251069, 49.980131914, SW_DOWN-185, 156.988194948
19.677251354, 49.980140904, SW_DOWN-186, 157.988028986
19.677251639, 49.980149893, SW_DOWN-187, 158.987863025
19.677251925, 49.980158883, SW_DOWN-188, 159.987697064
19.677252210, 49.980167872, SW_DOWN-189, 160.987531102
19.677252496, 49.980176862, SW_DOWN-190, 161.987365142
19.677252781, 49.980185851, SW_DOWN-191, 162.987199181
19.677253067, 49.980194841, SW_DOWN-192, 163.987033219
19.677253328, 49.980203830, SW_DOWN-193, 164.986875515
19.677253238, 49.980212822, SW_DOWN-194, 165.986837605
19.677253148, 49.980221813, SW_DOWN-195, 167.052145645
19.677253058, 49.980230804, SW_DOWN-196, 168.052012743
19.677252968, 49.980239795, SW_DOWN-197, 169.051879841
19.677252878, 49.980248787, SW_DOWN-198, 170.051746940
19.677252954, 49.980257777, SW_DOWN-199, 171.051645119
19.677253246, 49.980266766, SW_DOWN-200, 172.051583827
19.677253537, 49.980275756, SW_DOWN-201, 173.051522534
19.677253829, 49.980284745, SW_DOWN-202, 174.051461243
19.677254121, 49.980293735, SW_DOWN-203, 175.051399950
19.677254413, 49.980302724, SW_DOWN-204, 176.051338658
19.677254704, 49.980311714, SW_DOWN-205, 177.051277365
19.677255022, 49.980320703, SW_DOWN-206, 178.051190541
19.677255381, 49.980329691, SW_DOWN-207, 179.051065169
19.677255739, 49.980338679, SW_DOWN-208, 180.050939799
19.677256097, 49.980347668, SW_DOWN-209, 181.050814428
19.677256455, 49.980356656, SW_DOWN-210, 182.050689057
19.677256813, 49.980365645, SW_DOWN-211, 183.050563687
19.677257171, 49.980374633, SW_DOWN-212, 184.050438315
19.677257529, 49.980383622, SW_DOWN-213, 185.050312945
19.677257887, 49.980392610, SW_DOWN-214, 186.050187575
19.677258146, 49.980401600, SW_DOWN-215, 187.050146226
19.677258389, 49.980410590, SW_DOWN-216, 188.050117434
19.677258632, 49.980419580, SW_DOWN-217, 189.050088642
19.677258875, 49.980428570, SW_DOWN-218, 190.050059850
19.677259118, 49.980437560, SW_DOWN-219, 191.050031058
19.677259361, 49.980446550, SW_DOWN-220, 192.050002266
19.677259604, 49.980455540, SW_DOWN-221, 193.049973473
19.677259848, 49.980464530, SW_DOWN-222, 194.157117063
19.677259925, 49.980473521, SW_DOWN-223, 195.156972077
19.677259980, 49.980482512, SW_DOWN-224, 196.156809564
19.677260036, 49.980491504, SW_DOWN-225, 197.156647050
19.677260092, 49.980500495, SW_DOWN-226, 198.156484536
19.677260147, 49.980509486, SW_DOWN-227, 199.156322023
19.677260203, 49.980518478, SW_DOWN-228, 200.156159509
19.677260324, 49.980527469, SW_DOWN-229, 201.156067195
19.677260465, 49.980536460, SW_DOWN-230, 202.155996670
19.677260607, 49.980545451, SW_DOWN-231, 203.073082259
19.677260748, 49.980554442, SW_DOWN-232, 204.073079584
19.677260889, 49.980563432, SW_DOWN-233, 205.073076907
19.677261031, 49.980572423, SW_DOWN-234, 206.073074231
19.677261114, 49.980581415, SW_DOWN-235, 207.073046753
19.677261153, 49.980590406, SW_DOWN-236, 208.072999829
19.677261192, 49.980599397, SW_DOWN-237, 209.072952906
19.677261230, 49.980608389, SW_DOWN-238, 210.072905981
19.677261269, 49.980617380, SW_DOWN-239, 211.072859058
19.677261234, 49.980626371, SW_DOWN-240, 212.072733070
19.677261121, 49.980635362, SW_DOWN-241, 213.072521198
